date,name
14/12/2022,Alex
15/12/2022,Alex
16/12/2022,Alex
17/12/2022,BrunoRS
18/12/2022,Alex
19/12/2022,BrunoRS
20/12/2022,BrunoRS
21/12/2022,BrunoRS
22/12/2022,BrunoRS
23/12/2022,BrunoRS
24/12/2022,David
25/12/2022,BrunoRS
26/12/2022,David
27/12/2022,David
28/12/2022,David
29/12/2022,David
30/12/2022,David
31/12/2022,BrunoA
